,Date,Patch,Format,match_url,Maps_Won_1,Maps_Won_2,Map Number,Map,Duration,Team1,RoundsWon1,Team2,RoundsWon2,PistolWin1,PistolWin2,EcoWin1,Ecowin2,SemiEcoWin1,SemiEcoWin2,SemiBuyWin1,SemiBuyWin2,BuyWin1,BuyWin2
148,2023-04-26 14:00:00,Patch 6.06,BO3,https://www.vlr.gg/184042/giants-gaming-vs-team-liquid-champions-tour-2023-emea-league-w5,1,2,2,"Icebox
PICK",59:52,Giants Gaming,11,Team Liquid,13,1,1,3 (1),4 (1),2 (1),0 (0),7 (3),8 (4),12 (6),12 (8)
149,2023-04-26 14:00:00,Patch 6.06,BO3,https://www.vlr.gg/184042/giants-gaming-vs-team-liquid-champions-tour-2023-emea-league-w5,1,2,3,Lotus,56:03,Giants Gaming,10,Team Liquid,13,1,1,3 (1),3 (2),2 (0),0 (0),3 (2),6 (4),15 (7),14 (7)
150,2023-04-27 12:00:00,Patch 6.06,BO3,https://www.vlr.gg/184043/bbl-esports-vs-team-heretics-champions-tour-2023-emea-league-w5,2,1,1,"Haven
PICK",1:33:12,BBL Esports,14,Team Heretics,12,1,1,3 (1),3 (1),0 (0),2 (1),13 (7),9 (5),10 (6),12 (5)
151,2023-04-27 12:00:00,Patch 6.06,BO3,https://www.vlr.gg/184043/bbl-esports-vs-team-heretics-champions-tour-2023-emea-league-w5,2,1,2,"Lotus
PICK",1:10:45,BBL Esports,10,Team Heretics,13,1,1,2 (1),3 (1),0 (0),2 (0),8 (5),5 (3),13 (4),13 (9)
152,2023-04-27 12:00:00,Patch 6.06,BO3,https://www.vlr.gg/184043/bbl-esports-vs-team-heretics-champions-tour-2023-emea-league-w5,2,1,3,Icebox,37:39,BBL Esports,13,Team Heretics,2,1,1,2 (1),3 (1),1 (1),1 (0),1 (1),8 (1),11 (10),3 (0)
153,2023-04-27 16:15:00,Patch 6.06,BO3,https://www.vlr.gg/184044/koi-vs-karmine-corp-champions-tour-2023-emea-league-w5,1,2,1,"Lotus
PICK",1:10:00,KOI,6,Karmine Corp,13,1,1,3 (1),3 (1),1 (0),0 (0),6 (2),5 (3),9 (3),11 (9)
154,2023-04-27 16:15:00,Patch 6.06,BO3,https://www.vlr.gg/184044/koi-vs-karmine-corp-champions-tour-2023-emea-league-w5,1,2,2,"Ascent
PICK",1:00:42,KOI,13,Karmine Corp,8,1,1,3 (1),3 (1),0 (0),2 (2),5 (4),6 (2),13 (8),10 (3)
155,2023-04-27 16:15:00,Patch 6.06,BO3,https://www.vlr.gg/184044/koi-vs-karmine-corp-champions-tour-2023-emea-league-w5,1,2,3,Haven,59:34,KOI,11,Karmine Corp,13,1,1,3 (2),3 (1),3 (1),2 (2),8 (2),4 (2),10 (6),15 (8)
156,2023-04-28 12:00:00,Patch 6.06,BO3,https://www.vlr.gg/184045/fut-esports-vs-fnatic-champions-tour-2023-emea-league-w5,0,2,1,"Icebox
PICK",57:48,FUT Esports,5,FNATIC,13,0,2,4 (0),2 (2),1 (0),0 (0),1 (0),5 (3),12 (5),11 (8)
157,2023-04-28 12:00:00,Patch 6.06,BO3,https://www.vlr.gg/184045/fut-esports-vs-fnatic-champions-tour-2023-emea-league-w5,0,2,2,"Lotus
PICK",43:45,FUT Esports,5,FNATIC,13,0,2,5 (0),2 (2),0 (0),0 (0),4 (1),6 (4),9 (4),10 (7)
158,2023-04-28 14:20:00,Patch 6.06,BO3,https://www.vlr.gg/184046/team-vitality-vs-natus-vincere-champions-tour-2023-emea-league-w5,0,2,1,"Split
PICK",1:06:52,Team Vitality,10,Natus Vincere,13,1,1,3 (1),3 (1),1 (0),0 (0),10 (4),13 (7),9 (5),7 (5)
159,2023-04-28 14:20:00,Patch 6.06,BO3,https://www.vlr.gg/184046/team-vitality-vs-natus-vincere-champions-tour-2023-emea-league-w5,0,2,2,"Fracture
PICK",56:06,Team Vitality,10,Natus Vincere,13,2,0,2 (2),4 (1),1 (0),0 (0),11 (5),9 (5),9 (3),10 (7)
160,2023-05-03 14:00:00,Patch 6.08,BO3,https://www.vlr.gg/184047/team-vitality-vs-fnatic-champions-tour-2023-emea-league-w6,0,2,1,"Haven
PICK",1:09:14,Team Vitality,12,FNATIC,14,0,2,4 (0),2 (2),1 (0),0 (0),10 (7),9 (5),11 (5),15 (7)
161,2023-05-03 14:00:00,Patch 6.08,BO3,https://www.vlr.gg/184047/team-vitality-vs-fnatic-champions-tour-2023-emea-league-w6,0,2,2,"Bind
PICK",50:32,Team Vitality,8,FNATIC,13,1,1,2 (1),4 (2),1 (1),0 (0),9 (3),5 (3),9 (3),12 (8)
162,2023-05-04 12:00:00,Patch 6.08,BO3,https://www.vlr.gg/184048/fut-esports-vs-karmine-corp-champions-tour-2023-emea-league-w6,2,0,1,"Haven
PICK",57:35,FUT Esports,13,Karmine Corp,8,0,2,4 (1),2 (2),1 (1),3 (1),1 (1),5 (3),15 (10),11 (2)
163,2023-05-04 12:00:00,Patch 6.08,BO3,https://www.vlr.gg/184048/fut-esports-vs-karmine-corp-champions-tour-2023-emea-league-w6,2,0,2,"Ascent
PICK",48:38,FUT Esports,13,Karmine Corp,5,2,0,2 (2),4 (0),0 (0),2 (0),5 (4),6 (2),11 (7),6 (3)
164,2023-05-04 14:15:00,Patch 6.08,BO3,https://www.vlr.gg/184049/koi-vs-bbl-esports-champions-tour-2023-emea-league-w6,1,2,1,"Pearl
PICK",1:06:02,KOI,13,BBL Esports,3,2,0,2 (2),3 (0),0 (0),1 (0),4 (4),8 (1),10 (7),4 (2)
165,2023-05-04 14:15:00,Patch 6.08,BO3,https://www.vlr.gg/184049/koi-vs-bbl-esports-champions-tour-2023-emea-league-w6,1,2,2,"Ascent
PICK",42:03,KOI,4,BBL Esports,13,1,1,2 (1),2 (1),3 (0),0 (0),9 (2),6 (5),3 (1),9 (7)
166,2023-05-04 14:15:00,Patch 6.08,BO3,https://www.vlr.gg/184049/koi-vs-bbl-esports-champions-tour-2023-emea-league-w6,1,2,3,Bind,44:02,KOI,5,BBL Esports,13,1,1,3 (1),2 (1),0 (0),1 (0),8 (2),3 (2),7 (2),12 (10)
167,2023-05-05 12:00:00,Patch 6.08,BO3,https://www.vlr.gg/184050/natus-vincere-vs-team-liquid-champions-tour-2023-emea-league-w6,2,0,1,"Fracture
PICK",1:07:23,Natus Vincere,13,Team Liquid,11,2,0,2 (2),4 (1),2 (1),1 (1),8 (5),8 (6),12 (5),11 (3)
168,2023-05-05 12:00:00,Patch 6.08,BO3,https://www.vlr.gg/184050/natus-vincere-vs-team-liquid-champions-tour-2023-emea-league-w6,2,0,2,"Bind
PICK",1:02:47,Natus Vincere,13,Team Liquid,11,1,1,2 (1),3 (2),2 (1),1 (0),5 (3),6 (4),15 (8),14 (5)
169,2023-05-05 15:15:00,Patch 6.08,BO3,https://www.vlr.gg/184051/giants-gaming-vs-team-heretics-champions-tour-2023-emea-league-w6,0,2,1,"Pearl
PICK",1:15:24,Giants Gaming,9,Team Heretics,13,1,1,3 (2),3 (1),1 (0),2 (1),6 (2),4 (2),12 (5),13 (9)
170,2023-05-05 15:15:00,Patch 6.08,BO3,https://www.vlr.gg/184051/giants-gaming-vs-team-heretics-champions-tour-2023-emea-league-w6,0,2,2,"Lotus
PICK",1:13:28,Giants Gaming,14,Team Heretics,16,2,0,2 (2),4 (0),1 (1),0 (0),9 (5),7 (4),18 (6),19 (12)
171,2023-05-10 12:00:00,Patch 6.08,BO3,https://www.vlr.gg/184038/koi-vs-fnatic-champions-tour-2023-emea-league-w4,0,2,1,"Lotus
PICK",1:21:01,KOI,4,FNATIC,13,1,1,3 (1),3 (1),3 (0),0 (0),4 (1),4 (4),7 (2),10 (8)
172,2023-05-10 12:00:00,Patch 6.08,BO3,https://www.vlr.gg/184038/koi-vs-fnatic-champions-tour-2023-emea-league-w4,0,2,2,"Ascent
PICK",53:53,KOI,9,FNATIC,13,1,1,3 (1),3 (1),0 (0),0 (0),8 (2),9 (3),11 (6),10 (9)
173,2023-05-10 15:10:00,Patch 6.08,BO3,https://www.vlr.gg/184052/giants-gaming-vs-team-vitality-champions-tour-2023-emea-league-w7,2,1,1,"Lotus
PICK",55:49,Giants Gaming,13,Team Vitality,6,2,0,2 (2),2 (0),2 (1),2 (1),4 (2),7 (3),11 (8),8 (2)
